ingest_name,prop_name,present_cnt,absent_cnt
ctd,adjusted_p_value,2282783,2062078
dgidb,dgidb_evidence_score,41832,11840
dgidb,dgidb_interaction_score,41832,11840
diseases,diseases_confidence_score,3917,0
tmkp,evidence_count,1485506,0
chembl,has_confidence_score,257106,12525
cohd,has_confidence_score,136,0
signor,has_confidence_score,43625,6
dakp,number_of_cases,66315,9096
ctd,p_value,2282783,2062078
alliance,publications,172568,0
bindingdb,publications,1361214,0
chembl,publications,269585,46
ctd,publications,2062078,2282783
dakp,publications,8615,66796
dgidb,publications,4010,49662
drugcentral,publications,2093,32241
gene2phenotype,publications,3022,80
go_cam,publications,5011,1567
goa,publications,2135407,0
gtopdb,publications,31883,4159
hpoa,publications,590486,7511
intact,publications,958987,0
pubtator,publications,10890003,0
semmeddb,publications,1724481,0
signor,publications,43631,0
tmkp,publications,1485506,0
goa,has_evidence_of_type,2135407,0
hpoa,has_evidence_of_type,262360,335637
gene2phenotype,gene2phenotype_confidence_category,3102,0
