spqo,present_cnt,absent_cnt
"('activity', 'affects', 'n/a', 'activity')",4,0
"('activity', 'affects', 'n/a', 'anatomical entity')",1,0
"('activity', 'affects', 'n/a', 'biological process')",131,0
"('activity', 'affects', 'n/a', 'clinical attribute')",1,0
"('activity', 'affects', 'n/a', 'cohort')",3,0
"('activity', 'affects', 'n/a', 'disease or phenotypic feature')",84,0
"('activity', 'affects', 'n/a', 'information content entity')",3,0
"('activity', 'affects', 'n/a', 'molecular activity')",12,0
"('activity', 'affects', 'n/a', 'organism taxon')",2,0
"('activity', 'affects', 'n/a', 'phenomenon')",8,0
"('activity', 'affects', 'n/a', 'procedure')",37,0
"('activity', 'causes', 'n/a', 'disease or phenotypic feature')",42,0
"('activity', 'coexists with', 'n/a', 'activity')",1,0
"('activity', 'coexists with', 'n/a', 'anatomical entity')",1,0
"('activity', 'coexists with', 'n/a', 'biological process')",107,0
"('activity', 'coexists with', 'n/a', 'clinical attribute')",2,0
"('activity', 'coexists with', 'n/a', 'disease or phenotypic feature')",41,0
"('activity', 'coexists with', 'n/a', 'information content entity')",5,0
"('activity', 'coexists with', 'n/a', 'molecular activity')",2,0
"('activity', 'coexists with', 'n/a', 'phenomenon')",4,0
"('activity', 'coexists with', 'n/a', 'procedure')",8,0
"('activity', 'diagnoses', 'n/a', 'clinical attribute')",1,0
"('activity', 'diagnoses', 'n/a', 'disease or phenotypic feature')",172,0
"('activity', 'diagnoses', 'n/a', 'procedure')",1,0
"('activity', 'has input', 'n/a', 'chemical entity')",180,0
"('activity', 'has input', 'n/a', 'device')",64,0
"('activity', 'has input', 'n/a', 'gene or gene product')",38,0
"('activity', 'has input', 'n/a', 'physical entity')",5,0
"('activity', 'has input', 'n/a', 'procedure')",21,0
"('activity', 'located in', 'n/a', 'agent')",10,0
"('activity', 'located in', 'n/a', 'anatomical entity')",216,0
"('activity', 'located in', 'n/a', 'cell')",7,0
"('activity', 'located in', 'n/a', 'cellular component')",4,0
"('activity', 'located in', 'n/a', 'gross anatomical structure')",258,0
"('activity', 'located in', 'n/a', 'information content entity')",1,0
"('activity', 'located in', 'n/a', 'publication')",1,0
"('activity', 'occurs in', 'n/a', 'biological entity')",2,0
"('activity', 'occurs in', 'n/a', 'chemical entity')",12,0
"('activity', 'occurs in', 'n/a', 'cohort')",17,0
"('activity', 'occurs in', 'n/a', 'disease or phenotypic feature')",1,0
"('activity', 'occurs in', 'n/a', 'gene or gene product')",62,0
"('activity', 'occurs in', 'n/a', 'gross anatomical structure')",1,0
"('activity', 'occurs in', 'n/a', 'organism taxon')",1,0
"('activity', 'occurs in', 'n/a', 'population of individual organisms')",20,0
"('activity', 'precedes', 'n/a', 'biological process')",22,0
"('activity', 'precedes', 'n/a', 'clinical attribute')",1,0
"('activity', 'precedes', 'n/a', 'disease or phenotypic feature')",6,0
"('activity', 'precedes', 'n/a', 'phenomenon')",1,0
"('activity', 'precedes', 'n/a', 'procedure')",29,0
"('activity', 'predisposes to condition', 'n/a', 'clinical attribute')",2,0
"('activity', 'predisposes to condition', 'n/a', 'disease or phenotypic feature')",134,0
"('activity', 'produces', 'n/a', 'chemical entity')",4,0
"('activity', 'produces', 'n/a', 'gene or gene product')",7,0
"('activity', 'related to', 'n/a', 'biological process')",8,0
"('activity', 'related to', 'n/a', 'clinical attribute')",1,0
"('activity', 'related to', 'n/a', 'disease or phenotypic feature')",92,0
"('activity', 'treats or applied or studied to treat', 'n/a', 'agent')",2,0
"('activity', 'treats or applied or studied to treat', 'n/a', 'anatomical entity')",1,0
"('activity', 'treats or applied or studied to treat', 'n/a', 'clinical attribute')",2,0
"('activity', 'treats or applied or studied to treat', 'n/a', 'cohort')",226,0
"('activity', 'treats or applied or studied to treat', 'n/a', 'disease or phenotypic feature')",1717,0
"('activity', 'treats or applied or studied to treat', 'n/a', 'gross anatomical structure')",27,0
